loan_id,company_name,hq_country,asset_description,asset_value,asset_owner,loan_value,loan_currency
L000001,Caldermill Retail Group,Netherlands,Utrecht Distribution Centre,2140704,Caldermill Retail Group,3271637,EUR
L000002,Rathmore Agritech,United States,Austin Distribution Centre,615819,Rathmore Agritech,1074881,USD
L000003,Westfold Works,Spain,Seville Freight Hub,677827,Cascade Holdings GmbH,934960,EUR
L000004,Pemberton Pharma,Luxembourg,Differdange Warehouse,1723339,Pemberton Pharma,2007114,EUR
L000005,Quillon Logistics,Italy,Bologna Distribution Centre,1004285,Quillon Logistics,1134650,JPY
L000006,Ironwood Manufacturing,Sweden,Malmo Regional Headquarters,2151527,Ironwood Manufacturing,1697464,SEK
L000007,Marlowe Retail Group,United States,Charlotte Processing Plant,2017158,Marlowe Retail Group,2607106,USD
L000008,Redshaw Retail Group,United Kingdom,Bristol Warehouse,1122969,Redshaw Retail Group,704653,GBP
L000009,Brightwell Timber Ltd,France,Marseille Regional Headquarters,2147061,Brightwell Timber Ltd,2807992,EUR
L000010,Duskwood Logistics,Belgium,Liege Regional Headquarters,1809340,Duskwood Logistics,7770311,EUR
L000011,Hawksmoor Materials,Netherlands,Utrecht Storage Facility,854443,Hawksmoor Materials,1518624,EUR
L000012,Heathcote Logistics,Finland,Turku Cold Storage Depot,2241575,Heathcote Logistics,9643,EUR
L000013,Windrose Agritech,Portugal,Coimbra Manufacturing Plant,667590,Windrose Agritech,803846,EUR
L000014,Briarwood Holdings,Poland,Wroclaw Processing Plant,876676,Briarwood Holdings,1450381,PLN
L000015,Cascade Engineering,Poland,Wroclaw Office Campus,1284758,Cascade (Krakow) Ltd,1900778,PLN
L000016,Silverlake Textiles,United Kingdom,Cardiff Office Campus,1517540,Silverlake Textiles,4267549,GBP
L000017,Ashcombe Foods,Netherlands,Eindhoven Cold Storage Depot,1049550,Ashcombe Foods,681150,EUR
L000018,Everholt Textiles,Netherlands,Eindhoven Assembly Line Facility,447763,Everholt Textiles,543684,EUR
L000019,Yarrow Auto Parts,Germany,Leipzig Assembly Line Facility,854675,Yarrow Auto Parts,1484564,EUR
L000020,Larkspur Construction,Netherlands,Eindhoven Storage Facility,172133,Larkspur Construction,161370,EUR
L000021,Halbrook Supply Co,United States,Charlotte Assembly Line Facility,321808,Halbrook (Ohio) Ltd,576161,USD
L000022,Nordholt Pharma,Poland,Poznan Storage Facility,1823746,Heathcote Holdings SA,3373,CHF
L000023,Rathmore Agritech,United States,Tacoma Manufacturing Plant,165023,Rathmore (Ohio) Ltd,265846,USD
L000024,Foxglove Construction,Canada,Winnipeg Freight Hub,347969,Greystone Holdings Inc,283079,CAD
L000025,Amberfield Holdings,Luxembourg,Esch-sur-Alzette Storage Facility,466304,Amberfield Holdings,734004,EUR
L000026,Ashcombe Foods,Netherlands,Eindhoven Cold Storage Depot,1049550,Greystone Holdings GmbH,1159086,EUR
L000027,Brightwell Industries,Belgium,Ghent Office Campus,463355,Brightwell (Liege) Ltd,450193,EUR
L000028,Oakhaven Construction,Canada,Calgary Assembly Line Facility,588216,Oakhaven Construction,721701,CAD
L000029,Vantage Pharma,Canada,Calgary Assembly Line Facility,367331,Vantage (Calgary) Ltd,242115,JPY
L000030,Ivyridge Engineering,Luxembourg,Differdange Storage Facility,1831149,Ivyridge Engineering,2945331,EUR
L000031,Grayling Foods,Switzerland,Lausanne Assembly Line Facility,228104,Grayling Foods,344455,CHF
L000032,Everholt Supply Co,Finland,Tampere Manufacturing Plant,824123,Everholt Supply Co,607785,EUR
L000033,Larkspur Agritech,Ireland,Limerick Manufacturing Plant,1427945,Larkspur Agritech,1043333,EUR
L000034,Sundale Foods,Germany,Leipzig Distribution Centre,266309,Pinehurst Holdings GmbH,205007,EUR
L000035,Yarrow Auto Parts,Germany,Bremen Assembly Line Facility,793292,Yarrow Auto Parts,1412832,EUR
L000036,Brightwell Timber Ltd,France,Marseille Regional Headquarters,2147061,Tanglewood Holdings Inc,24172,EUR
L000037,Zenbridge Manufacturing,Spain,Seville Regional Headquarters,2422553,Zenbridge (Seville) Ltd,3218720,EUR
L000038,Fenwick Works,Japan,Fukuoka Warehouse,1582918,Fenwick Works,2304989,JPY
L000039,Fenwick Works,Japan,Fukuoka Warehouse,1582918,Fenwick Works,1280287,JPY
L000040,Windrose Agritech,Portugal,Braga Freight Hub,153704,Windrose Agritech,712075,EUR
L000041,Halbrook Supply Co,United States,Tacoma Distribution Centre,235139,Halbrook Supply Co,6963,USD
L000042,Larkspur Agritech,Ireland,Limerick Manufacturing Plant,1427945,Larkspur Agritech,1365460,EUR
L000043,Tanglewood Auto Parts,Italy,Bologna Regional Headquarters,455679,Tanglewood (Genoa) Ltd,534089,EUR
L000044,Greystone Timber Ltd,Canada,Calgary Processing Plant,451664,Greystone Timber Ltd,610265,CAD
L000045,Greystone Timber Ltd,Canada,Winnipeg Assembly Line Facility,287357,Greystone (Calgary) Ltd,269020,CAD
L000046,Greystone Auto Parts,France,Marseille Processing Plant,880673,Greystone Auto Parts,675380,EUR
L000047,Pinehurst Retail Group,Japan,Fukuoka Freight Hub,347548,Pinehurst Retail Group,507891,JPY
L000048,Hawksmoor Supply Co,Ireland,Limerick Distribution Centre,171020,Hawksmoor Supply Co,295255,EUR
